num_regions,mean_area,max_area,species
2,3.5,4,Osmia

5,5.4,12,Osmia

0,0,0,Osmia

0,0,0,Osmia

1,1,1,Osmia

0,0,0,Osmia

7,7.428571429,28,Osmia

8,5,16,Osmia

4,30.75,83,Osmia

2,68,135,Osmia

6,7.166666667,14,Osmia

2,5,6,Osmia

1,8,8,Osmia

5,4.4,11,Osmia

6,32.83333333,152,Lasioglossum

3,73.66666667,176,Lasioglossum

3,62.66666667,114,Lasioglossum

23,8.304347826,137,Lasioglossum

5,80,234,Lasioglossum

3,1,1,Lasioglossum

0,0,0,Lasioglossum

3,28.33333333,81,Lasioglossum

1,190,190,Lasioglossum

6,14.16666667,31,Lasioglossum

5,16,66,Lasioglossum

1,173,173,Agapostemon

1,2,2,Agapostemon

2,42.5,82,Lasioglossum

2,6.5,12,Lasioglossum

19,15.78947368,233,Agapostemon

12,1.583333333,4,Agapostemon

6,8.333333333,37,Agapostemon

10,10.9,47,Agapostemon

1,2,2,Agapostemon

22,5.863636364,38,Agapostemon

2,48,88,Agapostemon

2,97.5,194,Agapostemon

4,64,232,Agapostemon

12,118.8333333,658,Agapostemon

1,1,1,Lasioglossum

5,77.4,260,Lasioglossum

3,95,187,Lasioglossum

5,20,84,Lasioglossum

9,2.111111111,4,Lasioglossum

2,99,194,Lasioglossum

9,37,305,Lasioglossum

6,59,166,Lasioglossum

10,25.5,80,Lasioglossum

0,0,0,Lasioglossum

2,100.5,199,Agapostemon

0,0,0,Agapostemon

3,28.66666667,82,Agapostemon

0,0,0,Agapostemon

3,66.33333333,150,Lasioglossum

2,18.5,35,Lasioglossum

5,46.8,220,Lasioglossum

15,10,87,Lasioglossum

8,226.25,1550,Lasioglossum

1,133,133,Lasioglossum

22,6.818181818,67,Lasioglossum

34,12.44117647,167,Lasioglossum

46,29.67391304,1094,Lasioglossum

4,7,20,Lasioglossum

20,5.55,62,Lasioglossum

5,36.4,162,Lasioglossum

2,19,37,Lasioglossum

3,44.33333333,93,Lasioglossum

4,12.75,37,Lasioglossum

1,7,7,Lasioglossum

3,26.66666667,62,Lasioglossum

3,4,6,Lasioglossum

4,258.75,992,Bombus

3,2.666666667,4,Bombus

2,2,2,Bombus

5,2,4,Bombus

13,209.3076923,2531,Lasioglossum

22,6.772727273,71,Lasioglossum

1,1,1,Lasioglossum

4,38.25,128,Lasioglossum

4,227.75,667,Lasioglossum

4,52,185,Lasioglossum

12,11.66666667,56,Lasioglossum

0,0,0,Osmia

2,4,6,Osmia

1,1,1,Osmia

2,114.5,219,Lasioglossum

2,2,2,Lasioglossum

2,1.5,2,Osmia

7,2.714285714,7,Osmia

0,0,0,Osmia

2,4.5,8,Osmia

0,0,0,Osmia

4,703.25,2323,Lasioglossum

2,72,142,Lasioglossum
